private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,wb_title
xlviiirdr.com,empty_groups,8,306,True,False,True,,,False,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://xlviiirdr.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cricketwireless.com,empty_groups,17,284,True,False,False,,,True,False,,False,True,live,200.0,https://www.cricketwireless.com/,Cricket Wireless | Unlimited Phone Plans | Affordable Cell Phones | No Contract,,True,https://www.cricketwireless.com/,17.0,11.0,1.0,0.0,0.0,1.0,1.0,
igodigital.com,site_unreachable,37,283,True,False,True,Ad Motivated Tracking;Advertising;Analytics;Audience Measurement;Third-Party Analytics Marketing,"Salesforce.com, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
elfcosmetics.com,empty_groups,3,276,True,False,False,,,True,False,,False,True,live,200.0,https://www.elfcosmetics.com/,e.l.f. Cosmetics: Affordable Makeup & Skincare - Cruelty Free | e.l.f. Cosmetics,,True,https://www.elfcosmetics.com/,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
remotasks.com,empty_groups,1,275,True,False,False,,,False,False,,False,True,live,200.0,https://www.remotasks.com/en,Remotasks | Earn $USD Doing Online Tasks from Home,,True,https://www.remotasks.com/en,3.0,0.0,0.0,1.0,0.0,0.0,1.0,
adoptapet.com,empty_groups,13,272,True,False,False,,,True,False,,False,True,live,200.0,https://www.adoptapet.com/,"Adopt a Pet: Search Dogs, Cats & Pets for Adoption Near You",,True,https://www.adoptapet.com/,8.0,3.0,0.0,0.0,0.0,0.0,1.0,
eatthis.com,empty_groups,49,256,True,False,False,,,True,False,,False,True,live,200.0,https://www.eatthis.com/,"Eat This, Not That: Health, Nutrition, Weight Loss & Recipes",,True,https://www.eatthis.com/,70.0,83.0,0.0,0.0,0.0,0.0,1.0,
sparrow.org,empty_groups,2,253,True,False,False,,,True,False,,False,True,redirect,200.0,https://www.uofmhealthsparrow.org/,,,True,https://www.uofmhealthsparrow.org/,0.0,7.0,0.0,1.0,0.0,0.0,0.0,
quordle.com,empty_groups,7,242,True,False,False,,,True,False,,False,True,redirect,200.0,https://www.merriam-webster.com/games/quordle/,,,True,https://www.merriam-webster.com/games/quordle/,52.0,100.0,0.0,0.0,0.0,1.0,1.0,
seekingcrush.com,empty_groups,1,235,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectionError,False,,,,,,,,,
metlife.com,empty_groups,4,215,True,False,False,,,True,True,20220614225238.0,True,True,live,200.0,https://www.metlife.com/,Insurance and Employee Benefits | MetLife,,True,https://www.metlife.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insurance and Employee Benefits | MetLife
inmoment.com,empty_groups,29,195,True,False,True,,"InMoment, Inc.",True,False,,False,True,live,200.0,https://inmoment.com/,Integrated Customer Experience Solutions with AI | InMoment,,True,https://inmoment.com/,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
nextmillmedia.com,empty_groups,62,174,True,False,True,,"Next Millennium Media, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
tp88trk.com,empty_groups,21,148,True,False,True,,,False,True,20220608171620.0,True,True,http_error,404.0,http://tp88trk.com/,,https: SSLError,False,,,,,,,,,Performance Marketing Platform
plateau.com,empty_groups,1,145,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectTimeout,False,,,,,,,,,
chipotle.com,empty_groups,13,114,True,False,False,,,True,False,,False,True,live,200.0,https://www.chipotle.com/,Mexican Food - Restaurant & Catering - Chipotle Mexican Grill,,True,https://www.chipotle.com/,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
lifewayequipa.com,empty_groups,1,92,True,False,False,,,False,False,,False,True,live,200.0,https://www.LIFEWAYEQUIPA.COM,EQUIPA,https: SSLError,False,,,,,,,,,
medscape.com,empty_groups,13,79,True,False,True,,"WebMD, LLC",True,False,,False,True,live,200.0,https://www.medscape.com/,"Latest Medical News, Clinical Trials, Guidelines - Today on Medscape",,True,https://www.medscape.com/,25.0,43.0,0.0,1.0,0.0,1.0,1.0,
stylitics.com,empty_groups,16,75,True,False,True,,"Stylitics, Inc.",False,True,20220621145420.0,True,True,live,200.0,https://stylitics.com/,,,True,https://stylitics.com/,9.0,28.0,0.0,1.0,0.0,0.0,0.0,Home - Stylitics Inc.
blidz.com,empty_groups,1,49,True,False,False,,,False,False,,False,True,live,200.0,https://blidz.com/,Blidz,,True,https://blidz.com/,4.0,0.0,0.0,0.0,0.0,1.0,1.0,
miqcommerce.com,empty_groups,3,40,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
clearvoicesurveysmail.com,empty_groups,14,35,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
icbf-congress.com,empty_groups,1,33,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
tyt.com,empty_groups,1,23,True,False,False,,,False,False,,False,True,live,200.0,https://tyt.com/,Home - TYT.com,,False,,,,,,,,,
heraldtimesonline.com,empty_groups,2,22,True,False,False,,,True,False,,False,True,live,200.0,https://www.heraldtimesonline.com/,"The Herald-Times: Local News, Politics & Sports in Bloomington, IN",,True,https://www.heraldtimesonline.com/,68.0,22.0,0.0,0.0,1.0,0.0,1.0,
pocket-lint.com,empty_groups,6,17,True,False,False,,,True,False,,False,True,live,200.0,https://www.pocket-lint.com/,"Pocket-lint | Phone, gadget, and entertainment reviews, product news, and the best of the internet",,True,https://www.pocket-lint.com/,40.0,76.0,0.0,0.0,0.0,0.0,1.0,
schnellresearch.com,empty_groups,5,11,True,False,False,,,False,True,20220418233045.0,True,True,live,200.0,https://schnellresearch.com/,"Schnell Research | Schnell Research B2B Audience | Schnell Research Programming | Data Processing | Data Collection, CATI | Schnell Research B2B Audience",,True,https://schnellresearch.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Schnell Research | Schnell Research B2B Audience | Schnell Research Programming | Data Processing | Data Collection, CATI | Schnell Research B2B Audience"
theblacksphere.net,empty_groups,3,8,True,False,False,,,True,False,,False,True,live,200.0,https://theblacksphere.net/,The Black Sphere – Ending identity politics,,False,,,,,,,,,
doshopify.com,empty_groups,3,6,True,False,False,,,False,True,20220501044829.0,True,True,live,200.0,https://doshopify.com/,,,True,https://doshopify.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doshopify - All About Sharing Knowledge
ng.mil,empty_groups,1,3,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
redfin.com,empty_groups,53,1191,False,True,False,,,True,False,,False,True,live,200.0,https://www.redfin.com/,"Redfin | Real Estate & Homes for Sale, Rentals, Mortgages & Agents",,True,https://www.redfin.com/,23.0,17.0,1.0,0.0,0.0,1.0,1.0,
redgifs.com,api_network_error,15,462,False,True,True,,,True,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://www.redgifs.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
utrgv.edu,empty_groups,1,325,False,True,False,,,False,False,,False,True,live,200.0,https://www.utrgv.edu/,The University of Texas Rio Grande Valley | UTRGV,,True,https://www.utrgv.edu/,7.0,1.0,0.0,0.0,0.0,1.0,1.0,
salsalabs.org,empty_groups,13,137,False,True,True,,"Salsa Labs, Inc.",True,False,,False,True,dead,,,,http: ConnectTimeout,False,,,,,,,,,
marcos.com,empty_groups,6,111,False,True,False,,,True,False,,False,True,live,200.0,https://www.marcos.com/,Marco's Pizza Online Ordering,,True,https://www.marcos.com/,9.0,6.0,0.0,0.0,0.0,0.0,0.0,
omnigba.com,empty_groups,1,106,False,True,False,,,False,False,,False,True,live,200.0,https://omnigba.com/,,,True,https://omnigba.com/lander,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
drinkiq.com,empty_groups,9,86,False,True,False,,,True,False,,False,True,live,200.0,https://www.drinkiq.com/en-gb,Effects of Alcohol | Drink Awareness | DRINKiQ UK,,True,https://www.drinkiq.com/en-us,1.0,6.0,0.0,0.0,0.0,0.0,0.0,
sho.com,empty_groups,5,56,False,True,False,,,True,False,,False,True,redirect,200.0,https://www.paramountplus.com/brands/showtime/,Watch Showtime Shows & Movies on Paramount+,,True,https://www.paramountplus.com/brands/showtime/,30.0,45.0,0.0,0.0,0.0,1.0,0.0,
mangahere.cc,empty_groups,2,43,False,True,False,,,True,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,http://m.mangahere.cc/,4.0,1.0,0.0,0.0,0.0,0.0,0.0,
dinosaurized.com,empty_groups,1,41,False,True,False,,,False,False,,False,True,live,200.0,https://dinosaurized.com/,Top Tactical Gears - Survival Tools | Dinosaurized: An Army Store,,True,https://dinosaurized.com/,8.0,12.0,1.0,0.0,0.0,0.0,1.0,
box.net,empty_groups,5,39,False,True,False,,,True,False,,False,True,redirect,200.0,https://www.box.com/,,,True,https://www.box.com/,18.0,3.0,0.0,0.0,0.0,1.0,0.0,
employedusa.com,empty_groups,6,33,False,True,False,,,True,False,,False,True,live,200.0,https://employedusa.com/,Home Page - Employed USA,,True,https://employedusa.com/,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
freefilefillableforms.com,empty_groups,2,28,False,True,False,,,False,False,,False,True,live,200.0,https://freefilefillableforms.com/home/default.php,Free File Fillable Forms,,True,https://freefilefillableforms.com/home/default.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
lovemesomeprizes.com,empty_groups,1,25,False,True,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
planet7casino.com,empty_groups,3,25,False,True,False,,,True,False,,False,True,live,200.0,https://www.planet7casino.com/,Best Online Casino | 200% BONUS + FREE SPINS at Planet 7,,True,https://www.planet7casino.com/,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
zinmanga.com,empty_groups,1,23,False,True,False,,,False,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,False,,,,,,,,,
gp.org,empty_groups,1,22,False,True,False,,,False,False,,False,True,live,200.0,https://www.gp.org/,www.gp.org,,True,https://www.gp.org/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hudsonjeans.com,empty_groups,1,22,False,True,False,,,False,False,,False,True,live,200.0,https://www.hudsonjeans.com/,"Expertly crafted denim with an effortless, rebellious style - Shop Denim and Apparel for Women, Men and Kids from Hudson Jeans. Designed in Los Angeles.",,False,,,,,,,,,
indy100.com,empty_groups,7,21,False,True,False,,,True,False,,False,True,live,200.0,https://www.indy100.com/,Indy100 | News | Politics | YouTube and TikTok News,,True,https://www.indy100.com/,61.0,135.0,0.0,0.0,0.0,0.0,1.0,
loudwire.com,empty_groups,7,21,False,True,False,,,True,False,,False,True,live,200.0,https://loudwire.com/,Loudwire,,True,https://loudwire.com/,72.0,145.0,0.0,0.0,0.0,0.0,1.0,
solutionhealth.org,empty_groups,2,20,False,True,False,,,True,False,,False,True,live,200.0,https://www.solutionhealth.org/,SolutionHealth – A HealthCare solution for New Hampshire,,True,https://www.solutionhealth.org/,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
steepandcheap.com,empty_groups,1,16,False,True,False,,,False,False,,False,True,live,202.0,https://www.steepandcheap.com/,,,True,https://www.steepandcheap.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
angelsdateone.ru,empty_groups,1,15,False,True,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
webconsultas.com,empty_groups,2,14,False,True,False,,,True,False,,False,True,live,200.0,https://webconsultas.com/,Webconsultas – Sitio Cerrado,,True,https://webconsultas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pcfinancial.ca,empty_groups,1,13,False,True,False,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://www.pcfinancial.ca/en/,8.0,4.0,1.0,0.0,0.0,1.0,1.0,
defense.gov,api_network_error,4,11,False,True,True,,,True,False,,False,True,http_error,403.0,https://defense.gov/,Access Denied,,True,https://www.war.gov/,2.0,5.0,0.0,0.0,0.0,0.0,1.0,
imaginepay.com,api_network_error,2,11,False,True,False,,,True,False,,False,True,live,200.0,https://imaginepay.com/,Home,,True,https://imaginepay.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
