outcome,term,b,se,p
bl_third_party_cookies_rate,Age: 50--64,2.4534573458267963,0.4157989824210845,3.6221438429219905e-09
bl_third_party_cookies_rate,Age: 65+,3.1729834116142768,0.43038365526469136,1.6751624908774068e-13
bl_fb_pixel_rate,Woman,0.002430549616160319,0.005199618561851816,0.6401796188379621
bl_fb_pixel_rate,Race: African American,0.00409899087686717,0.009847583486879481,0.6772319609515886
bl_fb_pixel_rate,Race: Asian,-0.01941473166012231,0.009395575797453752,0.03879359956956635
bl_fb_pixel_rate,Race: Hispanic,0.0005786820099146928,0.007738996203966829,0.9403938803748914
bl_fb_pixel_rate,Race: Other,-0.008515483774316367,0.00795191245100143,0.28422679591041644
bl_fb_pixel_rate,Educ: Some college,-0.001738427127574904,0.006627232678544089,0.7930780648615604
bl_fb_pixel_rate,Educ: College,-0.010500548280613947,0.0066703491924759,0.11543828880286756
bl_fb_pixel_rate,Educ: Postgraduate,-0.0067886010322901775,0.008015538457335013,0.3970340668965947
bl_fb_pixel_rate,Age: 25--34,-0.005875932895680242,0.012474960363830548,0.6376277655483
bl_fb_pixel_rate,Age: 35--49,0.011491844480724555,0.01322035521833674,0.3847083071200562
bl_fb_pixel_rate,Age: 50--64,0.006342716156744305,0.01216552886586769,0.6021105131823195
bl_fb_pixel_rate,Age: 65+,0.011600776767234939,0.012155199025609216,0.33988724993130437
bl_google_analytics_rate,Woman,-0.0008103268053638783,0.002294124421122055,0.7239247643003266
bl_google_analytics_rate,Race: African American,0.00032799719409676775,0.0029597584225492723,0.9117599518871633
bl_google_analytics_rate,Race: Asian,-0.0025197469062402163,0.002464510677791131,0.3065856332790131
bl_google_analytics_rate,Race: Hispanic,-0.0014894811487733424,0.0035423288113258272,0.6741342739618176
bl_google_analytics_rate,Race: Other,-0.004448052325536059,0.0018823712375229315,0.018127433359649614
bl_google_analytics_rate,Educ: Some college,-0.00018140355576916258,0.003104699267471437,0.9534071510130158
bl_google_analytics_rate,Educ: College,-0.0024066754146300435,0.0031763325534287,0.4486365865087739
bl_google_analytics_rate,Educ: Postgraduate,-0.004514219879907825,0.0033602921052133922,0.17914215311069293
bl_google_analytics_rate,Age: 25--34,-0.005854066723333002,0.00507594169569899,0.24878863093696457
bl_google_analytics_rate,Age: 35--49,0.001442994790501132,0.006334837702175519,0.8198116967217182
bl_google_analytics_rate,Age: 50--64,-0.0038967076386368215,0.004847516684968364,0.42147987373420914
bl_google_analytics_rate,Age: 65+,-0.006688428550784074,0.004502413059929756,0.13740590002044042
bl_key_logging_rate,Woman,3.0439071343584846e-05,0.004359656365830201,0.9944292242988084
bl_key_logging_rate,Race: African American,0.003926504346472096,0.0069813890292476834,0.5738268194655076
bl_key_logging_rate,Race: Asian,-0.01751179644331719,0.005241943490451333,0.0008356541063433434
bl_key_logging_rate,Race: Hispanic,0.001061110723657626,0.007424398659835987,0.8863516963948782
bl_key_logging_rate,Race: Other,-0.00897199959394325,0.008400469776415415,0.28550451711214875
bl_key_logging_rate,Educ: Some college,0.00023287520360150069,0.00528022742428234,0.9648221001512218
bl_key_logging_rate,Educ: College,0.005942565958864623,0.006336613378942851,0.3483399061893838
bl_key_logging_rate,Educ: Postgraduate,-0.0001805600973393542,0.007331073285990146,0.9803505510880374
bl_key_logging_rate,Age: 25--34,0.003164308908648437,0.00693048702960391,0.6479742911783006
bl_key_logging_rate,Age: 35--49,0.021699490369854864,0.007713857868680176,0.004907357483120132
bl_key_logging_rate,Age: 50--64,0.028255116614164744,0.007718443503155316,0.0002515003565756563
bl_key_logging_rate,Age: 65+,0.03650822261430194,0.008079423689356402,6.223027328545889e-06
bl_session_recording_rate,Woman,0.0042232124757474055,0.0030556245642560146,0.16693760603147512
bl_session_recording_rate,Race: African American,0.008765689679525589,0.006101785323032329,0.1508379792987628
bl_session_recording_rate,Race: Asian,-0.013421281446920641,0.004046454681775606,0.0009105472747260237
bl_session_recording_rate,Race: Hispanic,-0.0001483060642986046,0.004040495294604672,0.9707202841662107
bl_session_recording_rate,Race: Other,0.002225949067764732,0.006018092287606682,0.7114747402822783
bl_session_recording_rate,Educ: Some college,0.002711270328436209,0.00382914991221061,0.4789076022855431
