caseid,coverage,ddg_join_ads_zero,ddg_join_ads_mean,ddg_join_ads_ha_mean,ddg_join_ads_hawb_mean,third_party_cookies_zero,third_party_cookies_mean,third_party_cookies_ha_mean,third_party_cookies_hawb_mean,ha22_ddg_join_ads,ha25_ddg_join_ads,drift_ddg_join_ads,ha22_third_party_cookies,ha25_third_party_cookies,drift_third_party_cookies
329404177,0.8593579978237215,5.429134929270947,6.346077636440399,6.422713463415734,6.42700639806945,6.303590859630033,7.385061436778793,7.474362351366309,7.474362351366309,16.832902611534276,15.235174102285093,-1.5977285092491833,7.8151523394994555,12.021830794341676,4.206678454842221
329420925,0.9335463258785942,4.292012779552715,4.725270347756732,4.757591707018582,4.744218374141902,5.086261980830671,5.5972593514145625,5.629196022339194,5.629196022339194,10.95782747603834,7.1738019169329075,-3.784025559105432,5.139297124600639,3.56741214057508,-1.571884984025559
329430565,0.8872151409810738,9.047122441096949,9.782445121066461,9.81831473220319,9.81831473220319,10.553109308613363,11.420371610695497,11.473559296086679,11.473559296086679,22.138084202394747,23.53089996137505,1.3928157589803014,12.680764774044032,21.28273464658169,8.601969872537659
329451665,0.45746628310979937,3.5390592894235438,7.076212681711584,6.837412756496677,6.821704911670848,3.5726827810363506,7.744510846968628,7.957808985185657,7.957808985185657,9.222755631934845,12.621025890088541,3.398270258153696,5.3907983711286285,12.992397354951994,7.601598983823365
329643833,0.3204022988505747,1.4813218390804597,5.912090359405141,5.275834921055855,5.245764136642056,1.3800287356321839,6.605814110685689,6.942603022207583,6.942603022207583,3.7873563218390807,4.022988505747127,0.23563218390804597,1.4709051724137931,1.7482040229885059,0.2772988505747127
329648569,0.8486830926083263,4.094307561597281,5.080847375857923,5.1463544786099895,5.185296710721466,6.947238742565846,8.110794299490646,8.177511973935728,8.177511973935728,16.91979609175871,10.642098555649957,-6.277697536108752,8.457349192863212,7.230968564146134,-1.2263806287170782
329990257,0.8375,3.934375,4.993825147248883,5.068318682343589,5.061284571452078,4.671875,5.921423257755922,6.027470314468319,6.027470314468319,15.5921875,13.9421875,-1.6500000000000004,9.2296875,9.5125,0.2828124999999986
330394441,0.8328167281672817,4.312915129151292,5.4028987719865125,5.487861693083725,5.485544800173909,4.996457564575646,6.282017971003388,6.363168048648237,6.363168048648237,23.2309963099631,19.301377613776136,-3.9296186961869637,11.757318573185731,11.20910209102091,-0.5482164821648219
330404713,0.6646989374262101,2.9672794737729804,5.153339536028416,5.277953116950599,5.3196284705446,3.801484230055659,6.379791051980511,6.5653670199221335,6.5653670199221335,13.979170180468882,11.688227357058526,-2.290942823410356,5.954208129532804,4.508517456569405,-1.4456906729633996
330619333,0.9442231075697212,1.3964143426294822,1.7600625696962147,1.7612953539685299,1.7798992886963387,2.298804780876494,2.7277027424721525,2.7554181780348697,2.7554181780348697,12.536852589641434,7.5826693227091635,-4.9541832669322705,3.1205179282868527,3.408366533864542,0.2878486055776892
330769613,0.8258450123660346,14.523701566364386,15.659138657397813,15.72511538131078,15.719375527837167,13.115519373454246,14.454688981931328,14.57922377212307,14.57922377212307,31.3520197856554,50.25164880461665,18.89962901896125,21.0294208573784,54.41575638911789,33.38633553173949
330854285,0.8673232908458864,7.407300115874855,8.272311556181457,8.317336029882133,8.267854424770906,9.418308227114716,10.438529462612019,10.514204345732889,10.514204345732889,17.448146002317497,13.977114716106605,-3.4710312862108914,9.108053302433373,8.628621089223639,-0.4794322132097335
330881549,0.8123348017621146,12.729515418502203,13.953034937927548,14.049083333880754,14.053197507992365,17.09603524229075,18.539091989980406,18.682879910032195,18.682879910032195,29.170704845814978,22.580616740088107,-6.5900881057268705,16.14977973568282,19.702202643171805,3.5524229074889853
330944005,0.8135493372606775,2.749042709867452,3.9646438304448486,4.036913717863142,4.0210046305306015,3.850957290132548,5.284674833414748,5.37957907630326,5.37957907630326,17.32179675994109,17.739469808541973,0.41767304860088217,7.326067746686303,12.711929307805596,5.385861561119293
331380213,0.8165327805130863,3.0976937030318736,4.293843688882666,4.356519975496836,4.325334881113829,4.335320031096139,5.746096304728117,5.812893291524669,5.812893291524669,10.526949987043276,8.047292044571133,-2.4796579424721426,9.16791915003887,4.060248769111169,-5.107670380927701
331728305,0.8994668697638994,1.7044935262757044,2.359938693242029,2.3651878898276215,2.3651878898276215,1.6001523229246002,2.373204616667792,2.417088354402324,2.417088354402324,7.293221629855293,3.3990860624523993,-3.894135567402894,1.0769230769230769,0.5727341964965728,-0.5041888804265041
331845789,0.7129213483146067,3.7747191011235954,5.646383838354983,5.741956567004728,5.77574415697412,4.428089887640449,6.635589143347541,6.748077413759565,6.748077413759565,9.307022471910113,7.694943820224719,-1.612078651685394,4.4455056179775285,2.5143258426966293,-1.9311797752808992
331920577,0.8571428571428571,2.061224489795918,2.9926092346301005,3.0044748051777894,3.0044748051777894,3.183673469387755,4.282177432250104,4.305095956777948,4.305095956777948,6.214285714285714,6.581632653061225,0.36734693877551017,1.4285714285714286,1.0204081632653061,-0.40816326530612246
331948469,0.33835100923708517,2.0413958262059526,6.355144261226534,6.686858157016793,6.686858157016793,2.572015053027711,7.659783321666262,8.101813875660262,8.101813875660262,8.89445774888813,8.715189873417721,-0.17926787547040846,2.5364351693465617,2.9360246322271637,0.39958946288060204
332022221,0.6767925561029009,6.305145046524357,8.412358425162612,8.459243955446707,8.439134583139342,8.241379310344827,10.726691915977844,10.780731055679379,10.780731055679379,18.525588396278053,17.66105637657362,-0.8645320197044342,13.679939792008758,16.496031746031747,2.8160919540229887
332368201,0.42105263157894735,3.5789473684210527,7.353506597485897,7.535520138799922,7.413126770659547,7.005847953216374,11.457679802711159,11.71314160484904,11.71314160484904,12.625730994152047,19.51169590643275,6.885964912280702,7.643274853801169,16.415204678362574,8.771929824561404
332398929,0.9213681568919044,1.625615763546798,2.1382712574503233,2.115229550030989,2.115663566911431,2.680221210149642,3.2848629489795367,3.3225100763151265,3.3225100763151265,10.61515940143136,8.85263500325309,-1.76252439817827,5.005297890138489,4.728901384887071,-0.2763965052514177
332744605,0.9273644388398486,2.9205548549810847,3.394116430160331,3.4137656952841957,3.4137656952841957,3.3076923076923075,3.8662254701464054,3.88603523981292,3.88603523981292,12.325851197982345,10.871374527112232,-1.454476670870113,5.598108448928121,3.244388398486759,-2.3537200504413622
